ch1_delta_power,ch1_theta_power,ch1_alpha_power,ch1_beta_power,ch1_gamma_power,ch2_delta_power,ch2_theta_power,ch2_alpha_power,ch2_beta_power,ch2_gamma_power,ch3_delta_power,ch3_theta_power,ch3_alpha_power,ch3_beta_power,ch3_gamma_power,ch4_delta_power,ch4_theta_power,ch4_alpha_power,ch4_beta_power,ch4_gamma_power,ch5_delta_power,ch5_theta_power,ch5_alpha_power,ch5_beta_power,ch5_gamma_power,ch6_delta_power,ch6_theta_power,ch6_alpha_power,ch6_beta_power,ch6_gamma_power,Online_id,Dream_emotion,Video_type
-10.818362783709773,-11.15200789049706,-11.611193372152375,-12.357478765746816,-12.89083793681359,-10.78607234063081,-11.124223481288826,-11.580834788264474,-12.38633034965594,-13.002431831157327,-11.216273852435107,-11.606038676028541,-11.905696544524634,-12.559135042254743,-12.914109417500356,-11.199049766884015,-11.700691076575449,-12.045856083935295,-12.585925447533306,-12.788965076238663,-11.332369613026817,-11.64475420861098,-11.929143026181233,-12.629756472645294,-12.94979600103319,-11.297480780591656,-11.77414948713272,-12.082842144620868,-12.59952222950606,-12.768726233805276,S0021,relatively happy,
-10.818362783709773,-11.15200789049706,-11.611193372152375,-12.357478765746816,-12.89083793681359,-10.78607234063081,-11.124223481288826,-11.580834788264474,-12.38633034965594,-13.002431831157327,-11.216273852435107,-11.606038676028541,-11.905696544524634,-12.559135042254743,-12.914109417500356,-11.199049766884015,-11.700691076575449,-12.045856083935295,-12.585925447533306,-12.788965076238663,-11.332369613026817,-11.64475420861098,-11.929143026181233,-12.629756472645294,-12.94979600103319,-11.297480780591656,-11.77414948713272,-12.082842144620868,-12.59952222950606,-12.768726233805276,S0021,relatively happy,
-10.818362783709773,-11.15200789049706,-11.611193372152375,-12.357478765746816,-12.89083793681359,-10.78607234063081,-11.124223481288826,-11.580834788264474,-12.38633034965594,-13.002431831157327,-11.216273852435107,-11.606038676028541,-11.905696544524634,-12.559135042254743,-12.914109417500356,-11.199049766884015,-11.700691076575449,-12.045856083935295,-12.585925447533306,-12.788965076238663,-11.332369613026817,-11.64475420861098,-11.929143026181233,-12.629756472645294,-12.94979600103319,-11.297480780591656,-11.77414948713272,-12.082842144620868,-12.59952222950606,-12.768726233805276,S0021,relatively happy,
-10.818362783709773,-11.15200789049706,-11.611193372152375,-12.357478765746816,-12.89083793681359,-10.78607234063081,-11.124223481288826,-11.580834788264474,-12.38633034965594,-13.002431831157327,-11.216273852435107,-11.606038676028541,-11.905696544524634,-12.559135042254743,-12.914109417500356,-11.199049766884015,-11.700691076575449,-12.045856083935295,-12.585925447533306,-12.788965076238663,-11.332369613026817,-11.64475420861098,-11.929143026181233,-12.629756472645294,-12.94979600103319,-11.297480780591656,-11.77414948713272,-12.082842144620868,-12.59952222950606,-12.768726233805276,S0021,calm,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,calm,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,calm,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,relatively unhappy,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,relatively unhappy,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,relatively unhappy,
-10.725908603653215,-11.113507028615233,-11.701624195845971,-12.437437402830557,-13.16403629274108,-10.565342210851822,-10.974003689299796,-11.605668336536143,-12.311733139134414,-13.236836706109084,-11.315342411324911,-11.647653607177212,-12.101759358946808,-12.719610906044968,-13.202391619300661,-11.16069702454038,-11.612022261181536,-12.091674308163338,-12.64530671717658,-13.300281268997505,-11.427004212145984,-11.687414439250194,-12.095920795202986,-12.814428147953018,-13.309149643358634,-11.246350266933236,-11.654957574103502,-12.069641884955269,-12.655898001307635,-13.24270960215385,S0031,calm,
